haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface,coordonnee_x,coordonnee_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,0,185,23404,488725,9,1,,7,,,3,,,,,,,,,,,,,936000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,1,,,,,1,,,,0,132,23199,488569,7,,2,4,2,,3,,,,,,,,,,,,,2050000
,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,0,52,23199,488569,7,4,,2,,,1,,,,,,,,,,,,,600000
1,,1,,1,1,,,,1,,,,,,,,,1,,,,1,,,,,1,,,1,,,,,,,1,1,1,,,,,,,,,1,1,,1,,,,,,,,,,,,1,,,,0,49,23199,488569,7,3,,2,,,1,,,,,,,,,,,,,670000
,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,0,261,23199,488569,7,1,,7,2,,4,,,,,,3,,,,,,,3200000
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,0,38,23199,488569,7,,,2,,,1,,,,,,,,,,,,,390000
,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,1,,1,,,1,,,,1,12,23140,488610,7,,,1,,,1,,,,,,,,,,,,,170000
,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,1,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,82,23100,488580,7,5,,4,,,3,,,,,,,,,,,,,998000
,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,1,74,23618,488562,7,,,2,,,,,,,,,,,,,,,,1420000
,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,1,62,23618,488562,7,5,,2,,,1,,,,,,,,,,,,,1145000
,1,,1,,1,,,,1,,,,,,,,,1,,,,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,0,60,23199,488569,7,3,,3,,,,,,,,,,,,,,,,780000
,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,0,80,23327,488506,6,1,,3,2,,2,,,,,,,,,,,,,960000
,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,1,62,23618,488562,6,5,,2,,,1,,,,,,,,,,,,,1145000
,1,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,1,72,23618,488562,6,3,,3,,,2,,,,,,,,,,,,,1300000
,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,1,74,23618,488562,6,,,2,,,1,,,,,,,,,,,,,1420000
,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,1,136,23618,488562,6,2,,5,,,3,,,,,,,,,,,,,1890000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,103,23618,488562,6,,,5,2,,3,,,,,,,,,,,,,955000
,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,34,24000,488645,6,3,,2,,,,,,,,,,,,,,,,495000
,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,1,,,,1,28,24000,488645,6,,,2,,,1,,,,,,,,,,,,,345000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,,23343,488553,6,,,,,,,,,,,,,,,,,,,1365000
,,,,,1,,,,1,,,,,,,,1,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,29,23315,488527,6,2,,2,,,,,,,,,,,,,,,,335000
,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,,,0,150,23557,488562,4,,,5,2,,3,,,,,,,,,,,,,1890000
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,1,146,23673,488542,4,,,4,,,2,,,,,,4,,,,,,,1155000
,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,0,84,23557,488562,4,2,,4,,,4,,,,,,,,,,,,,900000
,0,,,,1,,,,1,1,,1,,,,,,1,,,,1,,,1,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,0,25,23557,488562,4,3,,1,,,1,,,,,,,,,,,,,225000
,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,,,,1,27,23641,488541,4,1,,1,,,,,,,,,,,,,,,,310000
,1,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,0,21,23557,488562,4,4,,1,,,,,,,,,,,,,,,,290000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,,,,1,25,23641,488763,10,,,1,,,1,,,,,,,,,,,,,245000
,,,,,1,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,0,22,23557,488562,4,,,1,,,,,,,,,,,,,,,,225000
