haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface,coordonnee_x,coordonnee_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,1,140,22936,488770,18,,2,7,1,5,6,,,,,1900,,,,,,,,1365000
,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,0,138,23445,488923,18,1,2,5,1,1,3,,,,,,,,,,,,,898000
,,,,,1,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,1,,,,,,1,85,23584,488839,18,,,4,,,2,,,,,1950,,,,,,,,520000
,,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,,1,169,23272,488924,18,,3,7,1,3,5,,,,,2004,,,,,,,,1150000
,,,1,,1,,,1,1,,,,,,,,,1,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,0,70,23445,488923,18,,,3,1,1,2,,,,,1890,,,,,,,,556000
,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,98,23403,488950,18,,,4,1,2,3,,,,,,,,,,,,,815000
,,,1,,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,95,23505,488929,18,,,5,1,1,2,,,,,1912,,,,,,,,650000
,,,1,,1,,,,1,,,,1,,,,,,,,,1,1,,,,,,,,,1,,,,,,1,,,,1,,,,,1,,1,,,1,,,,,,,,,1,,,,,,0,325,23445,488923,18,,,10,1,3,6,,,,,,,,,,,,,1850000
,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,0,138,23445,488923,18,1,2,5,1,1,3,,,,,,,,,,,,,898000
,,,1,,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,1,,,,,,1,138,23444,488924,18,1,,4,1,1,3,,,,,1900,,,,,,,,885000
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,0,340,22761,488628,16,,3,12,3,,10,,,,,1910,,,,,,,,4300000
,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,,1,122,23271,488835,18,,,5,1,2,3,,,,,1890,,,,,,,,595000
,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,0,160,23445,488923,18,1,,6,1,1,3,,,,,,,,,,,,,1650000
,,,,,1,,,,,,,,1,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,1,,,,,,1,152,23347,488858,18,,,7,1,2,4,,,,,1900,,,,,,,,1790000
,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,,,0,136,23268,488329,14,,,6,1,,3,,,,,,,,,,,,,1470000
,,,,1,1,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,0,218,23221,488844,17,,,7,2,4,4,,,,,,,,,,,,,1790000
,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,,,0,300,22761,488628,16,,,7,4,,4,,,,,,,,,,,,,4000000
,,,1,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,1,1,1,,1,1,,,,,1,,,,,1,,1,,,,1,,,,,,,,1,,,,,,0,450,22761,488628,16,,,10,4,3,6,,,,,,,,,,,,,2035000
,,,1,,1,,,,1,,,,,,,,,,,,,1,,,,,,1,,1,1,,,,,,1,,,,,,,,,1,1,,1,,,,,,,,,,,,1,,,,,,0,260,22761,488628,16,1,,10,1,1,7,,,,,,,,,,,,,2395000
,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,0,341,22761,488628,16,,3,10,4,3,5,,,,,,,,,,,,,5100000
