requete,formattage,lat,lng
"rue+Leroi-Gourhan,Paris,France","Rue Leroi-Gourhan, 75015 Paris, France",48.8520011,2.2938828
"rue+de+l'Harmonie,Paris,France","Rue de l'Harmonie, 75015 Paris, France",48.8321279,2.3070302
"rue+Valentin+Hauy,Paris,France","Rue Valentin Hauy, 75015 Paris, France",48.8468763,2.3099753
"port+de+Javel,Paris,France","Port de Javel Haut, 75015 Paris, France",48.8483173,2.2794286
"rue+Juge,Paris,France","Rue Juge, 75015 Paris, France",48.8499732,2.2927487
"rue+Labrouste,Paris,France","Rue Labrouste, 75015 Paris, France",48.8338824,2.3081202
"impasse+Marteau,Paris,France","Impasse Marteau, 75018 Paris, France",48.9016372,2.3621034
"rue+Andre+Messager,Paris,France","Rue Andre Messager, 75018 Paris, France",48.8951007,2.3423101
"cite+du+Midi,Paris,France","Cite du Midi, 75018 Paris, France",48.8835034,2.3356912
"impasse+Milord,Paris,France","Impasse Milord, 75018 Paris, France",48.8962842,2.3295112
"rue+Muller,Paris,France","Rue Muller, 75018 Paris, France",48.886716,2.3465836
"rue+Myrha,Paris,France","Rue Myrha, 75018 Paris, France",48.8868535,2.3516602
"impasse+des+Deux+Nethes,Paris,France","Impasse des 2 Nethes, 75018 Paris, France",48.8857801,2.3272589
"rue+Nicolet,Paris,France","Rue Nicolet, 75018 Paris, France",48.8881292,2.3460634
"rue+Ordener,Paris,France","Rue Ordener, 75018 Paris, France",48.8921836,2.3462262
"rue+Pierre+Picard,Paris,France","Rue Pierre Picard, 75018 Paris, France",48.8847076,2.3460362
"rue+Gustave+Rouanet,Paris,France","Rue Gustave Rouanet, 75018 Paris, France",48.8963976,2.3403373
"place+du+Chateau+Rouge,Paris,France","Place du Chateau Rouge, 75018 Paris, France",48.8874504,2.3498273
"rue+des+Saules,Paris,France","Rue des Saules, 75018 Paris, France",48.8891798,2.3400112
"rue+Marcel+Sembat,Paris,France","Rue Marcel Sembat, 75018 Paris, France",48.8982143,2.3382554
"rue+du+Simplon,Paris,France","Rue du Simplon, 75018 Paris, France",48.8940746,2.3492612
"rue+de+Steinkerque,Paris,France","Rue de Steinkerque, 75018 Paris, France",48.8837312,2.3435621
